,latitude,longitude,altitude_relative_to_ground
0,36.10964272082536,-115.1390880465823,0
1,36.10970376295846,-115.139100271636,0
2,36.1097575021715,-115.1391332085353,0
3,36.10977852596929,-115.1391912157772,0
4,36.10984961093544,-115.1392053391854,0
5,36.10992187248574,-115.1392145125027,0
6,36.10998322331042,-115.1392199929514,0
7,36.11004352441174,-115.1392321224172,0
8,36.1101148514765,-115.1392374449993,0
9,36.11022083839268,-115.1392539811272,0
10,36.11031867409906,-115.1392730511589,0
11,36.11037990787732,-115.1393674701785,0
12,36.11040800109676,-115.1394622367612,0
13,36.11044080921319,-115.1395580276378,0
14,36.11051717118849,-115.1395669631993,0
15,36.11059890294369,-115.1395761905707,0
16,36.11064184765052,-115.1396239695607,0
17,36.11066882449511,-115.1396826288203,0
